,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,APICall
95,pisco,PE,-13.71,80.6,57,0,24.16,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=pisco,PE"
96,nsoko,SZ,-27.03,60.5,88,8,5.95,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=nsoko,SZ"
97,roma,AU,-26.57,63.38,79,0,3.15,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=roma,AU"
98,bongaree,AU,-27.08,69.8,94,40,6.93,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bongaree,AU"
99,broken hill,AU,-31.97,67.43,39,0,8.41,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=broken%20hill,AU"
101,puerto ayora,EC,-0.74,86.0,62,20,10.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=puerto%20ayora,EC"
102,henties bay,NA,-22.12,62.48,98,0,4.27,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=henties%20bay,NA"
103,hervey bay,AU,-25.3,76.7,100,100,9.53,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=hervey%20bay,AU"
104,walvis bay,NA,-22.95,62.6,77,0,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=walvis%20bay,NA"
105,taltal,CL,-25.41,69.95,58,0,4.61,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=taltal,CL"
106,aranos,NA,-24.14,70.13,71,68,10.65,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=aranos,NA"
107,vila velha,BR,-3.71,84.2,74,40,10.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=vila%20velha,BR"
108,poya,NC,-21.35,77.96,96,0,8.3,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=poya,NC"
109,georgetown,SH,-7.93,79.13,100,76,10.2,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=georgetown,SH"
110,antofagasta,CL,-23.65,69.8,64,20,16.11,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=antofagasta,CL"
111,concepcion,PY,-23.41,92.18,66,44,7.07,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=concepcion,PY"
113,rio bonito,BR,-22.71,82.4,74,75,10.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=rio%20bonito,BR"
114,manakara,MG,-22.14,73.82,100,92,13.89,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=manakara,MG"
115,farafangana,MG,-22.82,74.09,100,92,8.63,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=farafangana,MG"
116,mananjary,MG,-19.16,61.4,96,92,8.08,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mananjary,MG"
117,tocopilla,CL,-22.09,68.51,78,8,7.52,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tocopilla,CL"
118,hithadhoo,MV,-0.6,83.9,100,24,12.88,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=hithadhoo,MV"
119,beitbridge,ZW,-22.22,68.96,76,88,17.69,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=beitbridge,ZW"
120,mackay,AU,-21.15,69.8,94,32,5.82,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mackay,AU"
121,sao jose do rio preto,BR,-20.82,85.7,76,8,4.72,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sao%20jose%20do%20rio%20preto,BR"
122,port hedland,AU,-20.31,78.8,94,0,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=port%20hedland,AU"
123,chipinge,ZW,-20.19,67.07,100,92,9.19,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=chipinge,ZW"
124,cassilandia,BR,-19.11,87.14,63,32,2.26,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cassilandia,BR"
125,quelimane,MZ,-17.88,74.18,84,0,6.4,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=quelimane,MZ"
126,namibe,AO,-15.19,76.88,100,64,6.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=namibe,AO"
127,nata,BW,-20.21,73.01,59,8,18.37,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=nata,BW"
128,acari,PE,-15.44,74.72,49,0,3.6,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=acari,PE"
129,kununurra,AU,-15.77,78.8,83,40,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kununurra,AU"
130,mount isa,AU,-20.73,71.6,83,0,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mount%20isa,AU"
132,vaitape,PF,-16.52,81.56,100,48,9.42,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=vaitape,PF"
134,eenhana,NA,-17.48,73.4,88,20,1.12,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=eenhana,NA"
135,caravelas,BR,-17.73,81.92,100,32,13.0,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=caravelas,BR"
